Data;Water Level;Water Level Error
01/01/2019;0,580229;0,004765
02/01/2019;0,590786;0,004665
03/01/2019;0,601343;0,004565
04/01/2019;0,6119;0,004464
05/01/2019;0,622457;0,004364
06/01/2019;0,633014;0,004264
07/01/2019;0,643571;0,004163
08/01/2019;0,654128;0,004063
09/01/2019;0,664685;0,003963
10/01/2019;0,675242;0,003862
11/01/2019;0,685799;0,003762
12/01/2019;0,696356;0,003662
13/01/2019;0,706913;0,003561
14/01/2019;0,71747;0,003461
15/01/2019;0,728027;0,003361
16/01/2019;0,738584;0,00326
17/01/2019;0,749141;0,00316
18/01/2019;0,759698;0,00306
19/01/2019;0,770255;0,002959
20/01/2019;0,780812;0,002859
21/01/2019;0,791369;0,002759
22/01/2019;0,801926;0,002658
23/01/2019;0,812483;0,002558
24/01/2019;0,82304;0,002458
25/01/2019;0,833597;0,002357
26/01/2019;0,844154;0,002257
27/01/2019;0,854711;0,002157
28/01/2019;0,865268;0,002056
29/01/2019;0,875825;0,001956
30/01/2019;0,886382;0,001856
31/01/2019;0,896939;0,001755
01/02/2019;0;0
02/02/2019;0;0
03/02/2019;0;0
04/02/2019;0;0
05/02/2019;0,820114169;0,001003074
06/02/2019;0;0
07/02/2019;0;0
08/02/2019;0;0
09/02/2019;0;0
10/02/2019;0;0
11/02/2019;0;0
12/02/2019;0;0
13/02/2019;0;0
14/02/2019;0;0
15/02/2019;0,671576244;0,00562268
16/02/2019;0,655686802;0,002309454
17/02/2019;0;0
18/02/2019;0;0
19/02/2019;0;0
20/02/2019;0;0
21/02/2019;0;0
22/02/2019;0;0
23/02/2019;0;0
24/02/2019;0;0
25/02/2019;0;0
26/02/2019;0;0
27/02/2019;0;0
28/02/2019;0;0
01/03/2019;0;0
02/03/2019;0;0
03/03/2019;0;0
04/03/2019;0;0
05/03/2019;0;0
06/03/2019;0;0
07/03/2019;0,635034588;0,001473172
08/03/2019;0;0
09/03/2019;0;0
10/03/2019;0;0
11/03/2019;0;0
12/03/2019;0;0
13/03/2019;0;0
14/03/2019;0;0
15/03/2019;0,656693943;0,003742699
16/03/2019;0;0
17/03/2019;0,626039509;0,004662018
18/03/2019;0;0
19/03/2019;0;0
20/03/2019;0;0
21/03/2019;0;0
22/03/2019;0;0
23/03/2019;0;0
24/03/2019;0;0
25/03/2019;0;0
26/03/2019;0;0
27/03/2019;0,579383344;0,001658699
28/03/2019;0;0
29/03/2019;0;0
30/03/2019;0;0
31/03/2019;0;0
01/04/2019;0;0
02/04/2019;0;0
03/04/2019;0;0
04/04/2019;0;0
05/04/2019;0,498585607;0,000872777
06/04/2019;0;0
07/04/2019;0;0
08/04/2019;0;0
09/04/2019;0;0
10/04/2019;0;0
11/04/2019;0,659487853;0,000682643
12/04/2019;0;0
13/04/2019;0;0
14/04/2019;0;0
15/04/2019;0,683683216;0,002968511
16/04/2019;0;0
17/04/2019;0;0
18/04/2019;0;0
19/04/2019;0;0
20/04/2019;0;0
21/04/2019;0;0
22/04/2019;0;0
23/04/2019;0;0
24/04/2019;0;0
25/04/2019;0,722431384;0,003221963
26/04/2019;0;0
27/04/2019;0;0
28/04/2019;0;0
29/04/2019;0;0
30/04/2019;0;0
01/05/2019;0;0
02/05/2019;0;0
03/05/2019;0;0
04/05/2019;0;0
05/05/2019;0;0
06/05/2019;0;0
07/05/2019;0;0
08/05/2019;0,773304234;0,001406268
09/05/2019;0;0
10/05/2019;0;0
11/05/2019;0;0
12/05/2019;0;0
13/05/2019;0;0
14/05/2019;0;0
15/05/2019;0,877614311;0,010384006
16/05/2019;0;0
17/05/2019;0;0
18/05/2019;0;0
19/05/2019;0;0
20/05/2019;0;0
21/05/2019;0;0
22/05/2019;0;0
23/05/2019;0;0
24/05/2019;0;0
25/05/2019;0,875468186;0,002900567
26/05/2019;0;0
27/05/2019;0;0
28/05/2019;0;0
29/05/2019;0;0
30/05/2019;0;0
31/05/2019;0;0
01/06/2019;0;0
02/06/2019;0;0
03/06/2019;0;0
04/06/2019;0,86080134;0,026651002
05/06/2019;0;0
06/06/2019;0;0
07/06/2019;0;0
08/06/2019;0;0
09/06/2019;0;0
10/06/2019;0;0
11/06/2019;0;0
12/06/2019;0;0
13/06/2019;0;0
14/06/2019;0,726542699;0,004337383
15/06/2019;0;0
16/06/2019;0;0
17/06/2019;0;0
18/06/2019;0;0
19/06/2019;0;0
20/06/2019;0;0
21/06/2019;0;0
22/06/2019;0;0
23/06/2019;0;0
24/06/2019;0;0
25/06/2019;0;0
26/06/2019;0;0
27/06/2019;0;0
28/06/2019;0;0
29/06/2019;0;0
30/06/2019;0;0
01/07/2019;0,784348981;0,002423758
02/07/2019;0;0
03/07/2019;0;0
04/07/2019;0;0
05/07/2019;0;0
06/07/2019;0;0
07/07/2019;0;0
08/07/2019;0;0
09/07/2019;0;0
10/07/2019;0;0
11/07/2019;0;0
12/07/2019;0;0
13/07/2019;0;0
14/07/2019;0,632322534;0,002372282
15/07/2019;0;0
16/07/2019;0;0
17/07/2019;0;0
18/07/2019;0;0
19/07/2019;0;0
20/07/2019;0;0
21/07/2019;0;0
22/07/2019;0;0
23/07/2019;0;0
24/07/2019;0,860609975;0,000317818
25/07/2019;0;0
26/07/2019;0;0
27/07/2019;0;0
28/07/2019;0,861926598;0,00223638
29/07/2019;0;0
30/07/2019;0;0
31/07/2019;0;0
01/08/2019;0;0
02/08/2019;0;0
03/08/2019;0;0
04/08/2019;0;0
05/08/2019;0;0
06/08/2019;0;0
07/08/2019;0;0
08/08/2019;0;0
09/08/2019;0;0
10/08/2019;0;0
11/08/2019;0;0
12/08/2019;0;0
13/08/2019;0;0
14/08/2019;0;0
15/08/2019;0;0
16/08/2019;0;0
17/08/2019;0;0
18/08/2019;0;0
19/08/2019;0;0
20/08/2019;0;0
21/08/2019;0;0
22/08/2019;0;0
23/08/2019;0;0
24/08/2019;0,925129071;0,004578846
25/08/2019;0;0
26/08/2019;0;0
27/08/2019;0;0
28/08/2019;0;0
29/08/2019;0;0
30/08/2019;0;0
31/08/2019;0;0
01/09/2019;0,674898294;0,010747388
02/09/2019;0;0
03/09/2019;0;0
04/09/2019;0;0
05/09/2019;0;0
06/09/2019;0;0
07/09/2019;0;0
08/09/2019;0;0
09/09/2019;0;0
10/09/2019;0;0
11/09/2019;0;0
12/09/2019;0;0
13/09/2019;0;0
14/09/2019;0;0
15/09/2019;0;0
16/09/2019;0;0
17/09/2019;0;0
18/09/2019;0;0
19/09/2019;0;0
20/09/2019;0,763151822;0,000471571
21/09/2019;0;0
22/09/2019;0;0
23/09/2019;0;0
24/09/2019;0;0
25/09/2019;0;0
26/09/2019;0;0
27/09/2019;0;0
28/09/2019;0;0
29/09/2019;0;0
30/09/2019;0;0
01/10/2019;0,705870982;0,001276395
02/10/2019;0;0
03/10/2019;0;0
04/10/2019;0;0
05/10/2019;0;0
06/10/2019;0;0
07/10/2019;0;0
08/10/2019;0;0
09/10/2019;0;0
10/10/2019;0;0
11/10/2019;0,83118157;0,001296071
12/10/2019;0;0
13/10/2019;0;0
14/10/2019;0;0
15/10/2019;0;0
16/10/2019;0;0
17/10/2019;0,668962053;0,002867596
18/10/2019;0;0
19/10/2019;0;0
20/10/2019;0;0
21/10/2019;0,868279697;0,001588622
22/10/2019;0;0
23/10/2019;0;0
24/10/2019;0;0
25/10/2019;0;0
26/10/2019;0;0
27/10/2019;0;0
28/10/2019;0;0
29/10/2019;0;0
30/10/2019;0;0
31/10/2019;0;0
01/11/2019;0;0
02/11/2019;0;0
03/11/2019;0;0
04/11/2019;0;0
05/11/2019;0;0
06/11/2019;0;0
07/11/2019;0;0
08/11/2019;0;0
09/11/2019;0;0
10/11/2019;0;0
11/11/2019;0;0
12/11/2019;0;0
13/11/2019;0;0
14/11/2019;0;0
15/11/2019;0;0
16/11/2019;0;0
17/11/2019;0;0
18/11/2019;0;0
19/11/2019;0;0
20/11/2019;0;0
21/11/2019;0;0
22/11/2019;0;0
23/11/2019;0;0
24/11/2019;0;0
25/11/2019;0;0
26/11/2019;0;0
27/11/2019;0;0
28/11/2019;0;0
29/11/2019;0,830247577;0,001735558
30/11/2019;0;0
01/12/2019;0;0
02/12/2019;0;0
03/12/2019;0;0
04/12/2019;0;0
05/12/2019;0;0
06/12/2019;0;0
07/12/2019;0;0
08/12/2019;0;0
09/12/2019;0,802065897;0,000606857
10/12/2019;0,69812221;0,003660048
11/12/2019;0;0
12/12/2019;0;0
13/12/2019;0;0
14/12/2019;0;0
15/12/2019;0;0
16/12/2019;0;0
17/12/2019;0;0
18/12/2019;0;0
19/12/2019;0,677647197;0,000248033
20/12/2019;0;0
21/12/2019;0;0
22/12/2019;0;0
23/12/2019;0;0
24/12/2019;0;0
25/12/2019;0;0
26/12/2019;0;0
27/12/2019;0;0
28/12/2019;0;0
29/12/2019;0;0
30/12/2019;0;0
31/12/2019;0;0
01/01/2020;0;0
02/01/2020;0;0
03/01/2020;0;0
04/01/2020;0;0
05/01/2020;0;0
06/01/2020;0,50097051;0,001343306
07/01/2020;0;0
08/01/2020;0,547949034;0,004574676
09/01/2020;0;0
10/01/2020;0;0
11/01/2020;0;0
12/01/2020;0;0
13/01/2020;0;0
14/01/2020;0;0
15/01/2020;0;0
16/01/2020;0;0
17/01/2020;0;0
18/01/2020;0;0
19/01/2020;0;0
20/01/2020;0;0
21/01/2020;0;0
22/01/2020;0;0
23/01/2020;0;0
