Data;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
01/01/2019;0;999,03;999,28;998,80;27134,70;28,41;21,92;28,79;27,85;22,40;21,42;72,88;67,92;70,04;89,00;6,03;2,76
02/01/2019;0;996,51;999,28;996,26;25520,00;30,00;21,99;30,70;29,31;22,63;21,48;68,04;61,58;64,88;187,42;6,20;2,95
03/01/2019;15,6;994,78;999,28;994,30;9096,20;26,31;21,94;27,16;25,96;22,60;21,52;80,38;74,00;78,13;235,50;5,57;2,44
04/01/2019;0,4;1000,77;999,28;1000,43;16174,30;21,64;18,33;22,04;21,10;18,90;17,89;85,21;80,04;82,08;101,38;5,14;2,35
05/01/2019;0;1001,38;999,28;1001,18;19341,30;22,50;18,19;22,87;22,07;18,56;17,88;79,42;75,71;77,50;102,25;6,16;2,92
06/01/2019;0;997,26;999,28;997,13;25572,90;25,99;20,26;26,58;25,32;20,84;19,60;75,38;69,58;72,63;88,50;4,64;2,10
07/01/2019;6,6;991,35;999,28;990,90;14687,30;26,37;22,01;27,10;25,80;22,68;21,54;81,38;73,79;78,00;192,38;7,80;3,45
08/01/2019;1,8;999,11;999,28;998,71;23994,90;25,37;20,11;26,09;24,77;20,58;19,43;76,79;69,50;73,71;185,67;4,11;1,89
09/01/2019;10,8;998,58;999,28;998,22;8921,50;23,05;21,02;23,49;22,75;21,52;20,75;90,67;86,79;88,67;161,96;6,28;2,81
10/01/2019;0,4;997,30;999,28;996,85;13580,40;25,10;21,48;25,47;24,63;22,00;20,94;84,04;78,38;81,04;188,04;4,82;2,14
