Data;Precipitacaao
01/01/2024;0
02/01/2024;0,4
03/01/2024;0,2
04/01/2024;0
05/01/2024;0
06/01/2024;0
07/01/2024;0
08/01/2024;0
09/01/2024;0
10/01/2024;0
11/01/2024;11,4
12/01/2024;0,8
13/01/2024;0
14/01/2024;11,6
15/01/2024;0,2
16/01/2024;0
17/01/2024;50
18/01/2024;0
19/01/2024;0
20/01/2024;2,6
21/01/2024;0,2
22/01/2024;0
23/01/2024;0
24/01/2024;0
25/01/2024;0
26/01/2024;0
27/01/2024;0
28/01/2024;0,2
29/01/2024;0,2
30/01/2024;0
31/01/2024;0
01/02/2024;0
02/02/2024;0
03/02/2024;0
04/02/2024;12
05/02/2024;0,2
06/02/2024;0
07/02/2024;0
08/02/2024;0
09/02/2024;0
10/02/2024;0
11/02/2024;0
12/02/2024;5
13/02/2024;25,6
14/02/2024;0,2
15/02/2024;0
16/02/2024;43,2
17/02/2024;0
18/02/2024;0
19/02/2024;0
20/02/2024;0
21/02/2024;0
22/02/2024;0
23/02/2024;0
24/02/2024;0
25/02/2024;0
26/02/2024;0
27/02/2024;0
28/02/2024;0
29/02/2024;0
01/03/2024;0
02/03/2024;0
03/03/2024;0,8
04/03/2024;0
05/03/2024;0
06/03/2024;0
07/03/2024;0
08/03/2024;24
09/03/2024;0,4
10/03/2024;0
11/03/2024;0
12/03/2024;0
13/03/2024;0
14/03/2024;0
15/03/2024;26
16/03/2024;11,8
17/03/2024;0
18/03/2024;0
19/03/2024;0,2
20/03/2024;1,8
21/03/2024;25,8
22/03/2024;0
23/03/2024;0
24/03/2024;0
25/03/2024;0
26/03/2024;0
27/03/2024;0
28/03/2024;0
29/03/2024;33,4
30/03/2024;0,2
31/03/2024;0,2
01/04/2024;0
02/04/2024;0
03/04/2024;0
04/04/2024;5
05/04/2024;1,6
06/04/2024;0,2
07/04/2024;11,6
08/04/2024;0,8
09/04/2024;0
10/04/2024;3,4
11/04/2024;1,4
12/04/2024;13,6
13/04/2024;16
14/04/2024;7,6
15/04/2024;0
16/04/2024;38,4
17/04/2024;0,2
18/04/2024;0
19/04/2024;0
20/04/2024;0
21/04/2024;0,2
22/04/2024;0
23/04/2024;0
24/04/2024;6,4
25/04/2024;0
26/04/2024;17,6
27/04/2024;33,4
28/04/2024;11,2
29/04/2024;82,4
30/04/2024;91,8
01/05/2024;53,4
02/05/2024;61
03/05/2024;8,8
04/05/2024;11,4
05/05/2024;31,6
06/05/2024;0
07/05/2024;0
08/05/2024;9
09/05/2024;0
10/05/2024;27,8
11/05/2024;57
12/05/2024;83,6
13/05/2024;7
14/05/2024;0
15/05/2024;0
16/05/2024;5,8
17/05/2024;2,4
18/05/2024;0
19/05/2024;1,8
20/05/2024;2,6
21/05/2024;0
22/05/2024;0
23/05/2024;152
24/05/2024;25,2
25/05/2024;0,8
26/05/2024;0
27/05/2024;15,2
28/05/2024;4
29/05/2024;0,4
30/05/2024;0,2
31/05/2024;0,4
01/06/2024;0,2
02/06/2024;0
03/06/2024;20,8
04/06/2024;0
05/06/2024;0
06/06/2024;0,2
07/06/2024;0,2
08/06/2024;0
09/06/2024;0,2
10/06/2024;0
11/06/2024;0
12/06/2024;0
13/06/2024;0
14/06/2024;0
15/06/2024;7,6
16/06/2024;70
17/06/2024;0,2
18/06/2024;0
19/06/2024;102,4
20/06/2024;2,2
21/06/2024;47,6
22/06/2024;0
23/06/2024;6,6
24/06/2024;1
25/06/2024;0
26/06/2024;13,8
27/06/2024;0,4
28/06/2024;0
29/06/2024;0
30/06/2024;0
01/07/2024;0
02/07/2024;0
03/07/2024;0
04/07/2024;0
05/07/2024;6
06/07/2024;0,2
07/07/2024;0
08/07/2024;0,2
09/07/2024;0
10/07/2024;23,6
11/07/2024;2,2
12/07/2024;1
13/07/2024;1,2
14/07/2024;27
15/07/2024;0,2
16/07/2024;0
17/07/2024;0
18/07/2024;0,2
19/07/2024;0,4
20/07/2024;0
21/07/2024;0
22/07/2024;0
23/07/2024;0,4
24/07/2024;0
25/07/2024;0
26/07/2024;0
27/07/2024;0
28/07/2024;4,6
29/07/2024;13,4
30/07/2024;0
31/07/2024;0,2
01/08/2024;0
02/08/2024;0
03/08/2024;0
04/08/2024;11,6
05/08/2024;3
06/08/2024;25,2
07/08/2024;22,2
08/08/2024;2,6
09/08/2024;0
10/08/2024;0
11/08/2024;0,2
12/08/2024;0
13/08/2024;0
14/08/2024;0
15/08/2024;0
16/08/2024;0
17/08/2024;0
18/08/2024;0
19/08/2024;2,8
20/08/2024;10,4
21/08/2024;0
22/08/2024;13,4
23/08/2024;0,2
24/08/2024;0
25/08/2024;0
26/08/2024;0
27/08/2024;0
28/08/2024;0
29/08/2024;0
30/08/2024;0
31/08/2024;0
01/09/2024;1,2
02/09/2024;0
03/09/2024;0
04/09/2024;33,8
05/09/2024;4,6
06/09/2024;0
